299.00,36.00,106.00,79.00,10.47,8.56,8.56,13.46,24.40,55.00,2.70,68.00,20.61,8.73,2.70
465.00,52.00,99.00,113.00,7.20,7.20,6.30,23.60,29.90,55.00,1.50,174.00,20.61,8.73,3.10
479.00,56.00,95.00,95.00,10.70,9.60,5.70,14.30,34.00,35.00,1.00,147.00,17.69,13.70,2.30
993.00,70.00,12.00,125.00,8.00,7.40,6.90,12.00,37.60,34.00,0.80,170.00,5.33,32.97,6.00
1354.00,109.00,121.00,450.00,11.80,10.50,9.40,9.40,17.00,50.00,0.40,171.00,3.49,38.37,13.10
1016.00,104.00,35.00,328.00,7.80,5.90,5.90,9.40,27.90,39.00,0.30,148.00,6.08,8.00,12.10
322.00,43.00,14.00,106.00,8.70,8.70,7.40,26.00,32.70,37.00,0.30,31.00,16.69,8.98,2.20
615.00,55.00,7.00,171.00,7.20,7.20,6.60,13.30,26.90,67.00,0.10,146.00,22.47,10.52,5.30
1282.00,169.00,129.00,362.00,11.76,9.41,8.55,13.44,34.30,32.00,0.80,29.00,3.49,38.37,5.10
1367.00,167.00,138.00,420.00,11.80,10.50,9.40,9.40,19.00,42.00,1.05,51.00,3.49,38.37,12.80
1524.00,106.00,72.00,157.00,13.40,13.40,9.40,15.70,19.40,42.00,0.70,153.00,4.01,30.18,9.10
498.00,36.00,116.00,52.00,5.70,8.60,4.50,8.60,20.90,67.00,0.00,179.00,17.61,13.70,7.50
664.00,72.00,76.00,204.00,7.90,11.80,5.00,47.10,29.70,55.00,1.80,120.00,20.61,8.73,3.00
981.00,59.00,22.00,90.00,8.00,6.00,6.00,9.60,25.80,27.00,0.80,123.00,5.33,32.97,6.40
476.00,73.00,82.00,158.00,13.50,13.50,11.80,47.10,29.30,50.00,1.50,149.00,20.61,8.73,3.90
1476.00,153.00,144.00,559.00,11.80,10.50,9.40,9.40,21.00,46.00,1.40,144.00,3.49,38.37,13.40
1456.00,137.00,61.00,165.00,13.40,13.40,9.40,15.70,22.40,46.00,0.91,69.00,4.01,30.18,7.70
620.00,56.00,34.00,32.00,9.60,13.70,13.70,12.00,18.40,76.00,0.30,108.00,5.33,32.97,4.40
570.00,59.00,73.00,123.00,7.20,10.70,4.80,10.70,34.40,23.00,0.13,4.00,17.61,13.70,4.90
970.00,91.00,28.00,324.00,7.80,5.90,5.90,9.40,23.70,60.00,1.99,45.00,6.08,8.00,8.70
486.00,59.00,8.00,172.00,10.50,9.40,7.90,7.30,24.60,77.00,1.00,47.00,14.56,10.04,2.40
728.00,92.00,22.00,277.00,7.20,9.40,7.20,10.40,32.50,30.00,1.60,99.00,6.08,8.00,12.10
835.00,107.00,23.00,319.00,7.80,7.20,6.70,11.80,29.90,32.00,0.78,109.00,6.08,8.00,6.50
751.00,59.00,17.00,100.00,7.68,8.47,7.25,11.41,36.10,23.00,1.00,120.00,5.33,32.97,5.10
509.00,57.00,73.00,81.00,6.61,8.60,5.06,8.60,24.50,81.00,0.12,98.00,17.61,13.70,5.90
1922.00,178.00,39.00,241.00,11.80,13.40,7.80,18.80,28.10,31.00,1.10,121.00,4.01,30.18,4.80
431.00,36.00,69.00,150.00,8.60,7.20,7.20,13.50,20.00,59.00,0.60,87.00,20.61,8.73,5.70
485.00,46.00,4.00,152.00,7.90,7.90,5.90,13.50,30.60,42.00,1.20,94.00,14.56,10.04,2.60
569.00,70.00,87.00,147.00,9.60,9.60,6.60,21.50,36.00,29.00,1.10,158.00,17.69,13.70,3.20
704.00,100.00,62.00,222.00,10.40,8.50,8.50,13.40,10.70,69.00,0.30,132.00,6.08,8.00,9.00
538.00,36.00,112.00,79.00,7.90,9.40,6.30,9.40,21.30,58.00,0.60,8.00,17.69,13.70,6.00
622.00,62.00,31.00,37.00,9.60,13.70,13.70,12.00,22.00,47.00,0.10,161.00,5.33,32.97,6.10
1810.00,140.00,40.00,225.00,11.80,13.40,7.80,18.80,30.30,41.00,1.30,174.00,4.01,30.18,6.40
482.00,48.00,4.00,126.00,7.70,6.60,9.30,10.30,29.90,50.00,1.70,145.00,22.47,10.52,1.90
495.00,58.00,4.00,152.00,10.50,9.40,7.90,7.30,25.00,73.00,0.80,166.00,14.56,10.04,4.10
393.00,60.00,92.00,84.00,23.60,13.50,11.80,23.60,33.00,30.00,0.90,174.00,20.61,8.73,3.70
907.00,59.00,15.00,89.00,6.00,6.90,6.00,9.60,23.50,34.00,0.10,164.00,5.33,32.97,9.70
636.00,38.00,93.00,136.00,6.10,8.60,6.10,8.60,28.10,47.00,0.10,18.00,17.61,13.70,4.80
857.00,55.00,25.00,100.00,6.90,6.90,6.90,9.60,28.00,40.00,0.84,46.00,5.33,32.97,9.30
849.00,120.00,37.00,295.00,8.50,5.90,5.90,9.40,21.40,35.00,0.20,159.00,6.08,8.00,9.80
337.00,40.00,11.00,84.00,9.30,7.70,8.50,7.20,33.60,31.00,0.80,158.00,22.47,10.52,2.60
471.00,52.00,68.00,156.00,8.60,7.20,7.20,13.50,27.50,37.00,1.70,12.00,20.61,8.73,5.90
1562.00,160.00,141.00,367.00,9.40,11.80,7.80,13.40,27.70,43.00,0.30,39.00,3.49,38.37,10.30
420.00,61.00,22.00,98.00,9.40,9.40,7.30,18.90,30.60,43.00,1.00,91.00,14.56,10.04,3.60
1356.00,151.00,126.00,342.00,11.80,9.40,8.60,13.40,29.80,45.00,0.87,17.00,3.49,38.37,6.60
1342.00,125.00,59.00,186.00,13.40,13.40,9.40,15.70,24.50,68.00,2.50,134.00,4.01,30.18,10.30
714.00,61.00,32.00,42.00,9.60,13.70,13.70,12.00,26.00,69.00,0.20,171.00,5.33,32.97,7.00
292.00,41.00,97.00,88.00,6.30,9.40,5.00,9.40,16.50,53.00,1.90,24.00,20.61,8.73,3.90
1791.00,165.00,50.00,222.00,11.80,13.40,7.80,18.80,31.70,31.00,1.70,154.00,4.01,30.18,6.00
1421.00,117.00,112.00,519.00,11.76,10.46,9.41,9.41,26.10,43.00,0.18,34.00,3.49,38.37,10.80
475.00,55.00,75.00,127.00,7.20,10.70,4.80,10.70,33.30,29.00,1.60,35.00,17.61,13.70,4.70
1641.00,113.00,150.00,556.00,11.80,10.50,9.40,9.40,19.10,65.00,0.50,161.00,3.49,38.37,7.80
535.00,35.00,80.00,123.00,6.60,8.60,5.10,8.60,26.30,61.00,0.72,157.00,17.61,13.70,5.00
828.00,105.00,39.00,324.00,8.55,5.88,5.88,9.40,32.00,38.00,0.57,100.00,6.08,8.00,10.00
350.00,30.00,107.00,87.00,7.90,9.40,6.30,9.40,22.40,55.00,0.70,162.00,20.61,8.73,8.30
1395.00,173.00,136.00,334.00,11.80,9.40,8.60,13.40,32.20,32.00,1.00,20.00,3.49,38.37,9.40
541.00,45.00,69.00,135.00,5.10,4.50,6.60,7.80,27.90,31.00,0.90,175.00,17.61,13.70,4.20
321.00,36.00,112.00,87.00,7.90,9.40,6.30,9.40,13.30,73.00,1.10,147.00,20.61,8.73,7.70
976.00,117.00,42.00,348.00,7.83,5.88,5.88,9.40,32.10,39.00,0.83,96.00,6.08,8.00,12.30
1315.00,164.00,112.00,308.00,11.80,9.40,8.60,13.40,35.70,18.00,0.73,22.00,3.49,38.37,5.90
861.00,98.00,23.00,319.00,8.20,6.80,8.60,8.10,29.60,43.00,1.65,16.00,6.08,8.00,8.00
567.00,54.00,96.00,147.00,7.20,7.80,7.20,9.60,31.90,43.00,1.80,150.00,17.69,13.70,2.60
347.00,66.00,98.00,117.00,5.90,8.60,6.70,18.80,29.90,53.00,0.90,67.00,20.61,8.73,4.20
589.00,58.00,68.00,133.00,6.60,8.60,5.10,8.60,35.70,26.00,2.00,112.00,17.69,13.70,3.60
395.00,71.00,44.00,117.00,11.80,10.50,9.40,9.40,14.90,69.00,1.20,150.00,3.49,38.37,5.80
846.00,52.00,13.00,118.00,8.00,7.40,6.90,12.00,27.00,44.00,1.10,159.00,5.33,32.97,4.50
1829.00,144.00,52.00,240.00,11.80,13.40,7.80,15.70,32.00,32.00,1.57,26.00,4.01,30.18,7.70
1457.00,116.00,83.00,161.00,13.40,13.40,9.40,15.70,21.10,40.00,1.00,169.00,4.01,30.18,12.70
66.00,62.00,71.00,231.00,7.90,11.80,5.20,11.80,32.40,39.00,1.00,117.00,20.61,8.73,3.90
915.00,106.00,26.00,316.00,7.83,5.88,5.88,9.40,29.80,44.00,0.38,117.00,6.08,8.00,11.00
338.00,48.00,17.00,63.00,9.30,7.70,8.50,7.20,25.60,72.00,0.70,128.00,22.47,10.52,5.60
770.00,58.00,18.00,99.00,8.00,7.40,6.90,12.00,30.10,31.00,0.15,118.00,5.33,32.97,10.00
553.00,51.00,87.00,143.00,6.10,8.60,6.10,8.60,24.00,73.00,0.51,97.00,17.61,13.70,5.90
532.00,68.00,71.00,171.00,7.25,9.42,7.25,10.47,32.10,37.00,0.78,138.00,20.61,8.73,3.20
941.00,92.00,20.00,164.00,6.90,6.90,6.90,9.60,38.10,27.00,1.30,65.00,5.33,32.97,10.60
643.00,65.00,80.00,165.00,7.20,9.40,5.50,9.40,31.10,25.00,1.30,62.00,20.61,8.73,8.00
339.00,54.00,54.00,100.00,9.40,7.90,7.30,9.40,25.40,25.00,0.60,160.00,14.56,10.04,4.40
774.00,65.00,34.00,40.00,9.60,13.70,13.70,12.00,21.10,86.00,0.75,77.00,5.33,32.97,6.10
315.00,20.00,101.00,43.00,5.70,8.60,4.50,8.60,19.10,79.00,0.00,23.00,17.69,13.70,4.50
601.00,69.00,5.00,207.00,7.90,9.40,13.50,10.50,32.40,40.00,1.60,125.00,14.56,10.04,2.50
481.00,69.00,108.00,94.00,8.60,9.60,7.80,12.30,28.00,46.00,0.90,145.00,17.69,13.70,1.70
1518.00,100.00,82.00,184.00,13.40,13.40,9.40,15.70,22.10,69.00,1.13,75.00,4.01,30.18,5.00
337.00,46.00,103.00,115.00,6.30,9.40,5.00,9.40,18.10,69.00,0.80,151.00,20.61,8.73,8.70
576.00,60.00,31.00,28.00,9.60,13.70,13.70,12.00,13.00,76.00,0.00,98.00,5.33,32.97,5.90
824.00,88.00,25.00,310.00,7.20,9.40,7.20,10.40,28.10,28.00,1.03,155.00,6.08,8.00,6.40
1448.00,157.00,127.00,356.00,9.40,11.80,7.80,13.40,31.80,39.00,0.70,107.00,3.49,38.37,11.00
412.00,57.00,92.00,97.00,7.20,7.20,6.30,23.60,33.50,36.00,1.30,74.00,20.61,8.73,2.90
1550.00,170.00,137.00,362.00,9.41,11.76,7.84,13.44,35.60,22.00,1.00,21.00,3.49,38.37,4.80
533.00,54.00,3.00,179.00,8.00,6.10,5.80,9.40,22.40,89.00,0.00,153.00,16.69,8.98,2.90
746.00,94.00,59.00,263.00,9.40,13.40,13.40,11.80,19.50,57.00,1.03,7.00,6.08,8.00,5.30
508.00,43.00,65.00,152.00,5.50,5.00,7.20,8.60,29.50,33.00,1.50,40.00,20.61,8.73,4.80
559.00,59.00,74.00,191.00,2.20,1.90,1.90,3.50,26.80,37.00,0.60,101.00,20.61,8.73,7.20
544.00,81.00,63.00,164.00,10.20,8.30,7.00,9.10,26.20,69.00,0.90,60.00,14.31,8.27,1.80
572.00,38.00,55.00,123.00,8.30,11.40,5.10,13.10,30.40,47.00,1.70,168.00,14.31,8.27,2.80
682.00,50.00,33.00,43.00,9.60,13.70,13.70,12.00,18.20,68.00,0.30,126.00,5.33,32.97,4.20
752.00,97.00,54.00,234.00,10.40,8.50,8.50,13.40,25.70,65.00,1.10,168.00,6.08,8.00,8.00
522.00,41.00,95.00,129.00,6.10,8.60,6.10,8.60,29.20,25.00,0.00,175.00,17.61,13.70,7.60
878.00,72.00,19.00,123.00,8.70,6.00,6.00,9.60,37.10,35.00,1.08,135.00,5.33,32.97,6.00
1840.00,168.00,49.00,209.00,11.75,13.43,7.83,18.80,29.90,50.00,1.97,108.00,4.01,30.18,6.90
378.00,31.00,5.00,47.00,10.40,8.70,8.70,8.70,28.10,49.00,0.60,6.00,16.69,8.98,4.20
1787.00,151.00,35.00,221.00,11.80,13.40,7.80,18.80,35.70,34.00,1.20,162.00,4.01,30.18,7.80
917.00,53.00,21.00,99.00,8.00,6.00,6.00,9.60,34.20,22.00,0.48,101.00,5.33,32.97,9.70
470.00,73.00,98.00,111.00,10.70,9.60,5.70,8.60,23.70,60.00,1.20,124.00,17.69,13.70,4.00
